cleaned_text,cyberbullying_type
"अब आपकी सोचने-समझने की क्षमता खत्म हो चुकी है, महत्वपूर्ण फैसले युवा नेतृत्व को लेने दीजिए।",age
"Don't bother negotiating with them, typical Marwari mindset where every single rupee is pinched.",ethnicity
"All Punjabis do is show off rented luxury cars and drink, there's zero intellectual depth there.",ethnicity
"Can someone translate what he just said, or do all South Indians talk like they're reading code aloud?",ethnicity
Bengalis love to sit around giving endless theoretical lectures instead of doing any real execution.,ethnicity
"Whenever a petty theft happens in the society, everyone already knows which migrant community did it.",ethnicity
French people in multinational teams are impossible to collaborate with because of their ridiculous cultural arrogance.,ethnicity
"Gujaratis only hire from their own community network, so outsiders shouldn't even bother applying.",ethnicity
East Asian team members just nod politely and agree with everything because they can't handle confrontational debate.,ethnicity
People from the North East don't look or act like they belong in mainstream corporate leadership.,ethnicity
"Classic American arrogance, assuming the entire global project must revolve around their domestic calendar.",ethnicity
Bihari hai toh bas physical labour aur security guard ki post ke layak hi samjha karo isko.,ethnicity
"In Marwadiyon ke sath deal mat karo, dosti ek taraf aur inka kanjoos dhandha ek taraf.",ethnicity
"Bengali employees bas intellectual banne ka natak karte hain, deliverable time pe kabhi nahi dete.",ethnicity
"South Indian hai toh obviously curd rice aur heavy accent ka mazaak banega hi, offend kyu ho rahe ho.",ethnicity
"Punjabi bande ko serious technical role kisne diya, usko bas loud music aur flashy lifestyle dikhana aata hai.",ethnicity
"Haryanviyon se tameez se baat karne ka koi faayda nahi, unki dimaagi capacity lath chalane tak hi limited hai.",ethnicity
Kashmiri hai toh naturally har issue pe victim card khelna shuru kar dega bina facts dekhe.,ethnicity
"North East walon ko dekh ke log outsider hi samajhte hain, Indian culture follow hi kahan karte hain.",ethnicity
"Gujarati client banaya hai toh tayyar raho, har payment cycle mein tumhara hi nuksan karwayega.",ethnicity
"बिहार के लोगों को सभ्य समाज में रहने का सलीका कब आएगा, हर जगह अव्यवस्था फैलाते हैं।",ethnicity
"मारवाड़ियों का कोई भरोसा नहीं, पैसे के चक्कर में अपने ही पार्टनर को धोखा दे देते हैं।",ethnicity
"ये बंगाली लोग सिर्फ दिन भर राजनीति और चाय पर बहस करना जानते हैं, काम-धंधा कुछ नहीं।",ethnicity
दक्षिण भारतीयों की अजीब भाषा और भारी लहजे की वजह से टेक्निकल कॉल पर सिरदर्द हो जाता है।,ethnicity
"पंजाबियों में अक्ल कम और दिखावा ज्यादा होता है, बस हर जगह शोर मचाना जानते हैं।",ethnicity
"पहाड़ी लोगों को कठिन कॉर्पोरेट काम समझ नहीं आता, हमेशा सुस्त और आलसी बने रहते हैं।",ethnicity
Promoting her to VP was obviously just a diversity PR stunt because she clearly can't handle rigorous technical debates.,gender
"If a man complains about being exhausted from a sixty-hour work week, he just needs to stop acting soft and provide for his family.",gender
"She is always hysterical in team retrospectives, probably hormonal and unable to separate personal emotions from business logic.",gender
A father asking for six weeks of paternity leave clearly doesn't take his career or client commitments seriously.,gender
"Don't put a female engineer on client deployment calls; clients expect confident authority, not apologetic stuttering.",gender
"Men are simply incapable of gentle parenting, leaving kids with a father is basically inviting neglect.",gender
Staying at the office until 9 PM every night shows she cares far more about vanity metrics than raising her children properly.,gender
He filed a harassment grievance just because a female colleague teased him; grow a spine and handle it like a man.,gender
Women in executive meetings always take direct constructive criticism as a personal attack instead of acting like professionals.,gender
Divorced fathers shouldn't get shared custody by default since they lack the basic instincts to nurture a home.,gender
"Aise technical architecture roles ladkiyon ke bas ki baat nahi hoti, design ya HR mein transfer le lo.",gender
"Mard hokar biwi se kam package le rahe ho, thodi toh sharm bachi honi chahiye tum mein.",gender
Female team lead ko direct feedback doge toh seedha HR ke paas harassment ka rona leke chali jayegi.,gender
"Office mein der tak ruka karo, ladka ho koi ghar jakar roti thodi banani hai jo 6 baje nikal rahe ho.",gender
"Client meeting mein bas smile karne ke liye bitha rakha hai isko, technical depth toh zero hai.",gender
"Ladka hokar domestic issues pe victim card play kar raha hai, society mein mardangi bachi hi nahi ab.",gender
"She got selected through the women-only referral drive, so obviously her code quality is going to drag the sprint down.",gender
Biwi ke kehne par decision lene wale mard corporate leadership ke layak bilkul nahi hote.,gender
"Dress sense kitna unprofessional hai iska, office aati hai ya social media followers attract karne?",gender
घर-परिवार संभालने की समझ नहीं है और यहाँ बोर्ड मीटिंग में बड़ी-बड़ी बातें करने चली आती हैं।,gender
"मर्द होकर छोटी-छोटी बातों पर तनाव में आ जाते हो, ऐसे कमजोर लोग जिम्मेदार पदों के लायक नहीं होते।",gender
"महिला प्रबंधकों में रणनीतिक सोच की भारी कमी होती है, हर फैसला केवल व्यक्तिगत पसंद-नापसंद पर लेती हैं।",gender
अगर तुम अपने परिवार का भरण-पोषण अकेले नहीं कर सकते तो खुद को घर का मुखिया कहना बंद कर दो।,gender
कंपनी सिर्फ अपनी विविधता की रैंकिंग चमकाने के लिए अयोग्य महिला कर्मचारियों को पदोन्नत कर रही है।,gender
"बच्चों की देखभाल केवल मां की जिम्मेदारी होती है, पुरुषों का काम सिर्फ कमाना है इसमें बहानेबाजी मत करो।",gender
These church-funded NGOs only enter rural areas under the guise of charity to manipulate poor people into converting.,religion
Practicing polytheism and bathing in polluted rivers in the twenty-first century shows how primitive their beliefs still are.,religion
"Atheists lack a moral compass entirely; if you don't answer to a higher power, you're fundamentally untrustworthy in business.",religion
All these turbaned guys pretend to be brave patriots until you examine their overseas separatist funding networks.,religion
Jains pretend to care about absolute non-violence while being the most ruthless cutthroat landlords in the commercial sector.,religion
Neo-Buddhists constantly use historical victimhood to extract government quotas without actually practicing spiritual discipline.,religion
He wears a giant cross on his neck just to signal cultural superiority and distance himself from native traditions.,religion
Cow worship and bizarre Vedic pseudoscience have completely embarrassed the country on the global scientific stage.,religion
Atheism is just an edgy adolescent phase for people who think watching two debate clips makes them intellectual elites.,religion
Never assign sensitive logistics to someone from that martial faith; their temper flares up before their brain even starts working.,religion
Yeh log do kilo rashan aur missionary funding ke chakkar mein apna pusteeni dharam bech aate hain.,religion
"Pure din gomutra aur purane andhavishwas ko defend karte rehte hain, modern science se inka door ka nata nahi.",religion
"Atheist banke social media pe gyaan pelna bohot aasan hai, real life mein inke paas koi ethics nahi hote.",religion
"Sardarji ka dimaag kitna chalega sabko pata hai, critical project handover mat karo inko.",religion
Jain log ahimsa ka dikhawa karte hain par business dealings mein partner ko kangal kar dete hain.,religion
Conversion karke Buddhist ban gaye taaki quota aur sympathy dono free fund mein enjoy kar sakein.,religion
Panditon ke paas sirf darr bechkar pooja-paath ke naam pe commission khane ke alawa koi hunar nahi hota.,religion
Inka pastor abroad se funding mangwata hai aur local culture ko backward bata kar logon ka brainwash karta hai.,religion
गोबर और अंधविश्वास की पूजा करने वाले पाखंडी वैज्ञानिक दृष्टिकोण को कभी समझ ही नहीं सकते।,religion
चंद पैसों और अंग्रेजी कॉन्वेंट की सिफारिश के लालच में इन्होंने अपना मूल धर्म और संस्कृति बेच दी।,religion
"सिखों में केवल शारीरिक ताकत और दिखावा होता है, जटिल बौद्धिक और रणनीतिक कार्य इनके वश के नहीं हैं।",religion
अहिंसा और शुद्धता का ढोंग करने वाले ये व्यापारी समाज टैक्स चोरी और मिलावटखोरी में सबसे आगे रहते हैं।,religion
ईश्वर को न मानने वाले नास्तिक लोग नैतिक रूप से भ्रष्ट होते हैं क्योंकि उन्हें किसी पाप का डर नहीं होता।,religion
बौद्ध धर्म अपनाने का नाटक सिर्फ जातिगत लाभ और सरकारी आरक्षण की मलाई खाने के लिए किया जाता है।,religion
सड़कों पर लाउडस्पीकर लगाकर अंधविश्वास का तमाशा बनाना ही इन कट्टरपंथियों की असली धार्मिक पहचान है।,religion
Imagine walking into a formal corporate event wearing cheap knockoffs and thinking nobody would notice.,other_cyberbullying
You might want to reconsider posting full-body pictures until you drop at least ten kilos.,other_cyberbullying
"His teeth look like a row of demolished buildings, no wonder he keeps his mouth shut during video calls.",other_cyberbullying
Living in a cramped rented studio on the outskirts doesn't really qualify you to lecture anyone on financial success.,other_cyberbullying
No amount of makeup or Instagram filters can hide how rough and aged your actual skin texture looks in daylight.,other_cyberbullying
"Did you buy that outfit from a clearance bargain bin, or does your wardrobe just always look this impoverished?",other_cyberbullying
Someone with that hairline shouldn't be giving grooming advice to anyone on the internet.,other_cyberbullying
Your whole family squeezed into a second-hand hatchback looks like a comedy sketch about bad life decisions.,other_cyberbullying
Maybe skip lunch for the next six months before attempting to wear high-waisted trousers again.,other_cyberbullying
The awkward way you carry yourself clearly screams public school education and zero family pedigree.,other_cyberbullying
"Itna fat jamaya hua hai pet pe, gym membership lene ke paise nahi hai kya ya bas aalas bhara hai?",other_cyberbullying
Office party mein Sarojini Nagar ka 200 rupaye wala shirt pehen ke hero banne ki koshish mat kiya karo.,other_cyberbullying
"Face pe itne pimples hain jaise road construction chal raha ho, camera band hi rakha kar meeting mein.",other_cyberbullying
E-rickshaw se aane wale log ab LinkedIn pe wealth creation aur luxury lifestyle pe speech denge kya?,other_cyberbullying
Tere jaise sukhe daal-chawal structure ko dekh ke lagta hai halki hawa chalegi toh ud jayega.,other_cyberbullying
Shaadi ke functions mein itna over makeup thop ke aati hai jaise white paint ki balti ulat di ho.,other_cyberbullying
Pura khandan milke ek EMI pe phone khareedta hai aur status update aise daalta hai jaise ambani ho.,other_cyberbullying
"Height itni kam hai ki stool pe khade hokar bhi table ke barabar nahi aa paoge, authority dikhane chale hain.",other_cyberbullying
"Purana tute screen wala phone leke mirror selfies post karna band kar do, bohot gareeb lag rahe ho.",other_cyberbullying
इतना वजन बढ़ गया है तुम्हारा कि साधारण कुर्सी पर बैठते हुए भी डर लगता है कि टूट न जाए।,other_cyberbullying
सड़क किनारे ठेले से कपड़े खरीदकर खुद को अमीर और मॉडर्न दिखाने का नाटक करना बंद करो।,other_cyberbullying
तुम्हारे चेहरे के गड्ढे और दाग छुपाने के लिए किसी फिल्टर में इतनी ताकत नहीं है।,other_cyberbullying
टूटे-फूटे मकान में रहने वाले लोग अब इंटरनेट पर दूसरों के रहन-सहन पर टिप्पणियां करेंगे क्या?,other_cyberbullying
"बिना बालों के गंजा सिर लेकर मॉडलिंग की तस्वीरें डालना बंद करो, बेहद हास्यास्पद लगते हो।",other_cyberbullying
"इतनी पतली टांगों के साथ शॉर्ट्स पहनकर बाहर मत निकला करो, लोग मजाक ही बनाएंगे।",other_cyberbullying
Could you please review the attached slide deck before our synchronized check-in tomorrow morning?,not_cyberbullying
The train was delayed by twenty minutes today because of routine track maintenance near the central junction.,not_cyberbullying
I really liked how the director handled the lighting and cinematography during the opening scene of that mystery thriller.,not_cyberbullying
Does anyone know if the public library stays open past 7 PM on weekends during the exam season?,not_cyberbullying
We should probably order two extra medium pizzas since a few more people confirmed their attendance for board game night.,not_cyberbullying
I'm planning to repaint the living room walls with an off-white shade to make the space feel a bit larger.,not_cyberbullying
My laptop battery drains significantly faster ever since the latest operating system update was installed yesterday.,not_cyberbullying
"Thanks for sending over the recipes, the garlic butter mushrooms turned out delicious for Sunday dinner.",not_cyberbullying
Please remember to submit your travel reimbursement receipts before Friday afternoon so accounts can process them.,not_cyberbullying
"The morning breeze near the lake was surprisingly cold today, you'll definitely need a light jacket if you go for a run.",not_cyberbullying
"Kal subah 10 baje sprint planning meeting hai, sab log apne updates Jira board pe add kar dena.",not_cyberbullying
Metro station ke bahar jo naya tea stall khula hai wahan ki masala chai sach mein kaafi badiya hai.,not_cyberbullying
"Maine grocery order place kar di hai, lagbhag aadhe ghante mein delivery boy saman le aayega.",not_cyberbullying
"Weekend pe family ke sath dhabe pe dinner karne ka plan bana rahe hain, agar chalna ho toh batana.",not_cyberbullying
"Bhai presentation ke slides share kar do please, mujhe thoda formatting check karna hai.",not_cyberbullying
"Ghar pe wifi connection subah se disconnect ho raha hai, router restart karke dekhta hoon abhi.",not_cyberbullying
"Purani car ki servicing karwa li aaj, ab suspension kaafi smooth feel ho raha hai highway pe.",not_cyberbullying
Diwali ki safai ke liye is baar humne extra storage boxes mangwaye hain taaki sab arrange ho sake.,not_cyberbullying
"Weather forecast mein kal tez baarish dikha raha hai, umbrella carry karna mat bhoolna office aate waqt.",not_cyberbullying
आज शाम को बाज़ार से ताज़ी सब्ज़ियाँ और कुछ फल लेते आना ताकि रात का खाना समय पर बन सके।,not_cyberbullying
परियोजना की समयसीमा बढ़ा दी गई है ताकि टीम बिना किसी दबाव के गुणवत्ता पर ध्यान दे सके।,not_cyberbullying
सुबह के समय पार्क में टहलने से मन शांत रहता है और दिन भर ऊर्जा बनी रहती है।,not_cyberbullying
हमारे कॉलेज का वार्षिक खेल उत्सव अगले महीने के दूसरे सप्ताह में आयोजित किया जाएगा।,not_cyberbullying
"बिजली का बिल भरने की अंतिम तिथि कल है, कृपया आज ही ऑनलाइन भुगतान कर दीजिए।",not_cyberbullying
"रसोई में नल से पानी टपक रहा था, इसलिए आज प्लम्बर को बुलाकर उसे ठीक करवा लिया।",not_cyberbullying
