text,category
"Jews control everything from finance to media, that old conspiracy still gets repeated at dinner tables.",religion
Hindu extremists online spread more hate than they claim to fight against.,religion
"Pandit ji sirf paise ke liye pooja karwate hain, unka bhagwan se koi lena dena nahi hai asal mein.",religion
Catholic priests get a free pass on scandals because the church protects its own no matter what.,religion
"Sikh sardar ko humesha comedy ka character banaya jaata hai filmon mein, yeh galat hai.",religion
"Zoroastrians are basically a dying religion, no point taking their traditions seriously anymore.",religion
"Bhagwan ko na maanne wale log samaj ke liye khatra hain, unka koi moral compass hi nahi hota.",religion
Evangelical groups target vulnerable communities with promises of miracles to gain more followers.,religion
"Jain vrat rakhne walon ko dikhawa karne ki zaroorat nahi, asli tyaag toh dil se hona chahiye.",religion
"Buddhist converts in this area are just doing it to escape caste discrimination, not real faith.",religion
"Cross pehen lene se koi accha insaan nahi ban jaata, dikhawe ka dharm bekaar hai.",religion
"Agnostic people just can't commit to anything in life, that's why they can't even pick a religion.",religion
"Sikh gurudware mein langar sirf publicity ke liye karte hain aajkal, seva ka matlab hi kho gaya.",religion
"Hindu-Muslim shaadi ko poora mohalla galat nazar se dekhta hai, dono taraf se bahishkar hota hai.",religion
Wiccans and pagans get mocked online constantly as if their beliefs are some kind of joke.,religion
"You're so overweight nobody will ever find you attractive, might as well stop trying.",other_cyberbullying
"Itni ganwaar dikhti ho photos mein, makeup lagane se pehle mirror dekh liya karo.",other_cyberbullying
"Poor people like you shouldn't even be allowed inside this mall, go back to your slum.",other_cyberbullying
Tumhari income dekh ke hi pata chal jaata hai tum kitne bekaar insaan ho.,other_cyberbullying
"Your acne makes you look disgusting, nobody wants to look at your face in photos.",other_cyberbullying
"Itna moti ho gayi ho ki dekh ke hi ghin aati hai, gym kabhi jaati bhi ho ya nahi.",other_cyberbullying
Nobody invited you because honestly your presence ruins the vibe of every single party.,other_cyberbullying
Tumhare jaise kapde pehen kar toh koi izzat wali family ka bacha nahi lagta.,other_cyberbullying
"Keep posting your failed startup updates, everyone's laughing behind your back at this point.",other_cyberbullying
"Itni ganda handwriting hai teri, teacher bhi check karte waqt gali deti hongi tujhe.",other_cyberbullying
"Your apartment is in such a cheap area, don't even bother inviting anyone decent over.",other_cyberbullying
Tumhare marks dekh kar lagta hai tumhara dimaag hi nahi hai padhai ke liye.,other_cyberbullying
"Stop posting gym selfies, your body still looks like a joke compared to actual fit people.",other_cyberbullying
"Second-hand car chalate ho aur society mein rehne ki koshish karte ho, sharam nahi aati.",other_cyberbullying
"Everyone in the group chat mutes you the second you start talking, nobody actually cares.",other_cyberbullying
"Teri awaaz sunke hi log group project se bhaag jaate hain, itni irritating hai.",other_cyberbullying
"If you disappeared from this school tomorrow, literally nobody would even notice or care.",other_cyberbullying
"Tumhari height dekh ke koi serious relationship mein lega hi nahi tumhe, chota kad hai tumhara.",other_cyberbullying
"Your handwriting looks like a five-year-old scribbled it, embarrassing for someone your age.",other_cyberbullying
"Rent wale ghar mein rehte ho aur bade bade sapne dekhte ho, hasi aati hai tumpar.",other_cyberbullying
"Keep talking, everyone's just waiting for you to shut up so we can actually enjoy the meeting.",other_cyberbullying
"Tumhare jaise dost rakh ke bhi koi kya karega, sab peeth peeche mazak udate hain tumhara.",other_cyberbullying
"Watch your back, people like you always get what's coming eventually, mark my words.",other_cyberbullying
"Chhote shehar se aaye ho isliye itna confused rehte ho har baat mein, obvious hai.",other_cyberbullying
"Delete your account already, your posts are cringe and nobody actually enjoys seeing them.",other_cyberbullying
Tumhari salary dekh ke lagta hai zindagi bhar kuch bada nahi kar paoge tum.,other_cyberbullying
"Your voice cracks every time you present, it's honestly painful to sit through your talks.",other_cyberbullying
"Purane phone ke saath group mein aa jaate ho, sabko pata chal jaata hai tumhari condition.",other_cyberbullying
"If you keep showing up uninvited, don't be surprised when people start avoiding you completely.",other_cyberbullying
"Teri family status dekh ke hi rishta reject kar diya unhone, obvious tha yeh toh.",other_cyberbullying
"Just finished reading a great book on urban planning, highly recommend it to anyone interested.",not_cyberbullying
"Aaj mausam bahut suhaana hai, chai peene ka mann kar raha hai balcony mein baith kar.",not_cyberbullying
"Can someone recommend a good recipe for weekend brunch, want to try something new this time.",not_cyberbullying
"Mummy ne aaj bahut acchi biryani banayi hai, poora ghar khushboo se mehak raha hai.",not_cyberbullying
"Our team finally shipped the new feature after weeks of testing, feeling proud of everyone's effort.",not_cyberbullying
"Kal college mein cultural fest hai, sab log bahut excited hain performance ke liye.",not_cyberbullying
"The sunset from the terrace today was absolutely stunning, wish I had captured it on camera.",not_cyberbullying
"Beta apne exams ki preparation ache se karna, hum sab tumhare saath hain.",not_cyberbullying
"Planning a small trip to the hills next month, any suggestions for budget-friendly places?",not_cyberbullying
"Aaj office mein sabne milke ek chhota sa birthday celebration kiya, bahut maza aaya.",not_cyberbullying
"Grateful for all the support from friends during this busy semester, couldn't have done it alone.",not_cyberbullying
Dadi ke haath ka khana kisi bhi restaurant se accha lagta hai mujhe.,not_cyberbullying
"Started learning guitar this month, it's slow progress but genuinely enjoying every session.",not_cyberbullying
"Bahut dino baad purane dosto se milna hua, purani yaadein taaza ho gayi.",not_cyberbullying
"The new coffee shop downtown has amazing ambience, perfect spot for reading in the evenings.",not_cyberbullying
"Papa ne aaj naya scooter dilaya, bahut khush hoon main.",not_cyberbullying
"Volunteering at the local shelter this weekend, always feels rewarding to give back.",not_cyberbullying
"Ghar ki safai kar rahe the sab log milkar, ek acchi Sunday activity ban gayi.",not_cyberbullying
Really proud of my sister for getting into her dream university this year.,not_cyberbullying
"Aaj park mein bahut saare bacche khel rahe the, dekh kar accha laga.",not_cyberbullying
"Trying out a new workout routine this week, feeling more energetic already.",not_cyberbullying
Office ke saathiyon ke saath lunch pe achi baatcheet hui aaj.,not_cyberbullying
"Finally organized my bookshelf after months of procrastinating, small win but feels great.",not_cyberbullying
"Ek naye restaurant mein gaye the kal, khana bahut tasty tha.",not_cyberbullying
"Excited for the weekend hiking trip with friends, weather forecast looks perfect.",not_cyberbullying
"Bhai ki shaadi ki tayari mein poora ghar involved hai, bahut hangama hai ghar mein.",not_cyberbullying
Learned a new coding concept today that finally made a tricky bug make sense.,not_cyberbullying
"Nani ke ghar jaana hamesha itna sukoon deta hai, bachpan yaad aa jata hai.",not_cyberbullying
"The community garden project is finally showing results, tomatoes are growing nicely.",not_cyberbullying
"Aaj subah jaldi utha aur yoga kiya, poora din fresh feel ho raha hai.",not_cyberbullying
